	Id	Text	Label
2034	1109531920722022400_twitter	<user> nigger nigger nigger	hatespeech
14388	13661704_gab	yep retarded is now intellectual disability makes the retards proud	offensive
20095	9740830_gab	i deleted mine after 2 nd time fb gave me a time out for posting something they did not like it been four months and while it took about a month to wean myself off of it i do not miss it now it an internet ghetto	normal
1190	1178826128338780160_twitter	oh i fucking hate you cuz you a fucking time wasting motherfucker	normal
19786	8309724_gab	some white chick was a bitch to me once so i hope all white women suffer for all time wtf	undecided
10399	1081356390013095936_twitter	<user> this should be fun post colonial immigrant european america receiving their own medicine	normal
9480	18350386_gab	whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger	hatespeech
4336	1179037327328366593_twitter	<user> lol the pibble defense brigade out in force in the replies be like well mine dindu nuffin that not how statistics work	normal
8851	1178874632482381824_twitter	<user> the tolerant left killing children consequence free expecting tax payers to pay for it and hoping pro human people get raped	normal
19086	4386546_gab	<user> linda came to flint michigan for a photo op of delivering water to families she not even from michigan our newpaper made a big deal to show how co operative the recent refugees were in this crisis	normal
15767	17424248_gab	this is what they are building for the new asian australians that they are importing from china and who will ultimately vote first for socialism and then communism asians do not really buy a lot of houses because they are used to shanghai living	undecided
10423	1082356484019752962_twitter	<user> now it a humanitarian crisis because he wants to declare an emergency he doesnt see refugees as humans resigntrump	normal
17790	24171592_gab	fuk every jew u are part of the bolshevik jews that killed <number> million christians fuk u dog shit	hatespeech
3703	12583735_gab	nah hillary loves muzzies the same way she loves rapists those are her peeps	hatespeech
17160	21943283_gab	muslim goathumping shit should have his eyes put out with a burning poker	hatespeech
16134	18425911_gab	syrians are arabs why didnt they run to saudi kuwait qatar eh syrians do not speak german either syrians have run to the money vile gimmegrants	offensive
12283	1183714936398200835_twitter	i ’ m tired of waking up for school this shit is so ghetto	normal
18912	3400567_gab	<user> are not the immigrants from iran sikhs as well i have heard a lot of great success stories about how they integrated into our society	normal
13794	1261659830709678086_twitter	<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs	hatespeech
13307	1233848625022763010_twitter	<user> must be free gold retarded people	offensive
8784	1179026185986154502_twitter	<user> then why do you grope women and threaten them and love islam so much	normal
19491	6586152_gab	breitbart over on twitter really does themselves a major disservice by writing some retarded scribbling instead of a headline before the link for example lel throwdown huh whoopsie alas bring et k.i.s.s. yus wot you all ignant k me irl sumwun gwumpy etc etc what dipshits	normal
11380	1124911967930503168_twitter	<user> no muslim country have nuclears other than pakistan	normal
6538	1178148443564527619_twitter	<user> i was just reading a bs a thred on this topic 🙄 😑 🤦 🏽 \u200d ♀️ it blew me the comments that were made and conclusions that were reached ugh	normal
8219	1179059763994345474_twitter	<user> my money on a muslim immigrant could be wrong but doubtful	normal
19579	7096501_gab	was it just an accident that whitegenocide fanatic obama started the wars in libya syria that caused the muslim refugee invasion of europe and the us maga	offensive
11888	1167659752266113025_twitter	<user> there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’	offensive
2439	1178841761445302272_twitter	skinny white bitch who bullied me for being fat in middle school omg i am so thicc 🤪 😫 💦	offensive
19094	4428097_gab	it ll be interesting to see the language in these executive orders on immigration tomorrow trump is being a bad ass and keeping his word i am enjoying this now he needs to get high risk undocumented refugees and illegal immigrants the hell out of this country especially muslim fighter types	hatespeech
6825	20429127_gab	being managed by a ny kike what else would u expect	hatespeech
17469	22962144_gab	no faggot you are anti white for calling white nationalists wignats a retarded anti white term coined by your idol ricky vaughn	offensive
6529	1178862538412314624_twitter	read u in the <user> <user> re the mb municipal v the lgbt community tho beside the point i ask u as a gynaecologist who knows how the reproductive system works what happens to haman kind if we all chose to be homosexual u a real comic	normal
529	26999037_gab	so the major reason that moslem commit murder etc is because that the only way their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden	offensive
3407	16908788_gab	you can not culturally enrich a moslem	hatespeech
13056	1219398637991747584_twitter	<user> <user> i hate you 😭 😭 😭 😭 💀	normal
18127	25285915_gab	you cite a jew source as if jews having nothing to loose if they admit a deliberate attack on the uss liberty	offensive
8939	18933424_gab	it may be that i am in california they are mostly wetback catholics disgusting hostile creatures no matter what god they pray to	hatespeech
16129	18416365_gab	stay mad ma snow nigga your women love that non white dick while you all stay cucked with your low sperm count and number of white babies dwindle 😉	hatespeech
610	324N5FAHSXCKZ5OS68BGDFK3SBPKV0_nf_3	we have been much better than brugge we have had more chances and we have controlled the game the two chances they had they scored cuz courtois is a fucking bum	normal
18923	3436770_gab	babbitt and deyo a gay couple engaged in ongoing sexual contact with eight underage boys over several years and then killed themselves when discovered breitbart	normal
5787	1178022000326897664_twitter	<user> they feel sorry for her because her father nastiness is cutting into the profits from her fake empowerment bullsh*t <censored>	normal
6406	1178842439253020673_twitter	<user> <user> <user> <user> is not he the trailer trash cousin from christmas vacation is was and will always be trailer trash	undecided
16431	19233626_gab	it was a horrible experience for me the first time i walked in on a jew watching niggers spank each other for entertainment that when i realized that kikes were sick and perverted	offensive
10689	1093161019520749571_twitter	black man locked up and y ’ all can tell but bring up them fuckin immigrants we do not care	hatespeech
14837	15016524_gab	and so stupid they are ready to create their own walled in ghetto complete with armed guards the dems played them like a chinese made ukulele	offensive
11262	1118521140471898112_twitter	say what you will about nazi germany but it was definitely the most lgbt inclusive place in the middle east	offensive
14475	13884037_gab	are not you the guy who wrote an article about the alt right and used a <number> year old picture of <number> goobers from the american nazi party as a caption seems pretty hackish to me	offensive
1105	20318223_gab	the heeb fears the muramasa	normal
9483	25945928_gab	slut you could not afford a fucking <money> wedding cheap ass crossbreed wetback gorilla zoo animal	hatespeech
5131	20186071_gab	send all jiggaboo porch monkies to wakanda make niggers geographically isolated from huwhites again	hatespeech
16395	19137219_gab	lol shoo shoo you belong with the sand niggers	hatespeech
19622	7441785_gab	they love to attribute motivations and feelings for which there is no evidence steve sailor peter brimelow and jared taylor are genocidal even they they claim to oppose violence i have looked into their hearts and seen the hate likewise antifa violence is based on projection	normal
8202	22192894_gab	terry a davis is insane but somewhere somebody killed a cia nigger with his car on <date>	hatespeech
712	1178765620697079809_twitter	<user> however the biggest issue is i simply said just because the us thinks middle easterns are white and does not classify them as arabs cause for some dumb reason does not mean that they are right and with repeated dumb shit the us has done you can not just say trust the state	normal
1814	22676953_gab	i think you indeed can call people nigger if you so please	hatespeech
19912	9006147_gab	agreed and the ones all ready here must go and take their dumbass american wives with them idk how many american women are marrying muslims but in the the uk it the cool thing to marry the muslim charmer boys to avoid the party scene	offensive
3054	19348796_gab	i have been swinging hammers for <number> years i ain t never seen a kike in my industry unless he was shlmeeling a product or taking graff from a trade union and you can take that to the bank	hatespeech
651	12444134_gab	nothing regarding any nigger at school or in the work sector is based on merit you fuckers get special treatment all standards are lowered for you what are you writing your thesis on the colonel <number> special herbs and spices	hatespeech
5749	1179079261874982912_twitter	hate white bitches	offensive
16793	20532412_gab	lol this dumb bitch is so triggered started spamming me with slew of retarded mentions	offensive
382	1179102347433086976_twitter	<user> <user> almost two years after the election things are becoming worst just as mentioned in your report sexual violence cases have increased babies are being raped you might want to do a follow up report	normal
6652	1109363200640929792_twitter	you all i lost one of those little white bitches i cant find my left airpod it over	normal
6900	1178750146995089408_twitter	non lesbians out here throwing around the word dyke more than some of us actual lesbians the humiliation	normal
14196	13032224_gab	fuck syria and sand niggers	hatespeech
18574	27048020_gab	arabs no ones fault but theirs apologies to led zeppelin fucking arabsliars always some to blame but themselves israel	hatespeech
3187	1179092472934199296_twitter	<user> i am a capricorn idk who the fuck wrote this but a bunch of white bitches i ncluding myself about to be really really mad	normal
219	14549463_gab	i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist	hatespeech
7428	13470886_gab	this dipshit libtard let us his muzzie gf tell him what to do america was good to you you dumbfuck	hatespeech
1004	19840172_gab	catch a nigger by his toe stop him raping an underage how	hatespeech
1648	26474064_gab	i am surprised that nigger is not raping those other monkeys good thing that stick is in his way	hatespeech
17336	22553609_gab	keep electing islam followers and see how fast you aussi kaffirs convert to peaceful islam these are no h u m b l e aboriginals that you aussis can tame islam followers will make sure of your d e t r u c t i o n islamisevil	undecided
3865	1178359154802597889_twitter	bitches be just as messy ass these faggot ass niggas	offensive
4847	23991722_gab	taylor swift is a natural beauty if you compare her to the sheboons in the music industry i understand why men flock to her	offensive
13458	1241755403953856520_twitter	<user> you ’ re gonna kill all of your old friends	normal
10583	1088889351583473665_twitter	i love this hashtag so much muslimsforshawn ❤ ️	normal
3682	15459655_gab	according to news reports the jury also acquitted him of involuntary manslaughter in ca when they get a jury of your peers that includes getting anchor baby wetback child rapists	hatespeech
19520	6700335_gab	unnecessaryconfessions obama i hire women because they are big fat blabbermouths evelynfarkas susanrice	offensive
13452	12414572_gab	would some canadian patriot please maroon this faggot on an ice floe before he totally destroys your country	offensive
1323	23866657_gab	blubber lipped spear chucking jigaboo spook coon bison nostril velcro headed spaboolie niggers 🖕 🐒	hatespeech
3382	1178354212574392320_twitter	all the dykes taking all the security guard jobs	hatespeech
310	1179104957825519616_twitter	it really october and my car was <number> degrees when i got in it after work i fucking hate you boomers u ruined this planet and robbed us of our fall die off already fuck	normal
17105	21723691_gab	she had down syndrome she was literally retarded and you think she deserved rape ever met someone with downs they do not deserve that shit	offensive
17103	21713356_gab	no im waiting til i get bored shooting niggers in gta5 til i buy any new games 🤔	hatespeech
11473	11338030_gab	how many levels of boomer retard is this	offensive
1913	1178899041129771008_twitter	<user> oh my gaw 😂	normal
18337	26217093_gab	i think he was paid a lot of money by the uk government to set fire to and murder the muslim tenants at grenfell to avenge the children murdered in manchester makes complete sense to me	undecided
7982	1179076712824557574_twitter	<user> <user> <user> <user> abortion is not only for when the couple was irresponsible the couple can use condom and still get pregnant but there also cases where females get raped and she does not want to have the baby due trauma but okay i guess	normal
2112	1121959412778897409_twitter	niggas ah pay dollar just to stand beside her	normal
6469	1184694032947007491_twitter	so yes you are still stupid faggots	offensive
13511	12458728_gab	the only way torba could rationalize this simple observation as weev advocating for violence would be if torba assumed weev thoughts and thus he is accusing him of a thought crime maybe weev does want an uprising so what private internal desires are not criminal thought is not a crime yet	normal
10486	1084372016302456832_twitter	armys follow whoever retweets and likes <user>	normal
2217	12671512_gab	i understand the white bernie bro phenomenon i get what driving it but i honestly do not understand bourgeois cool kid cultural marxism because a lot of it is not and can not be driven by economic anxiety it like queers pissed off that they are queers or something i do not get it	offensive
4146	1179071582016282630_twitter	<user> the one in the orange shirt is a syrian refugee	normal
11014	11079955_gab	i have no problem with poetry spoken rhythmically set to music it low level ghetto scum culturally appropriating the long standing european tradition that annoys me	offensive
778	9747099_gab	🎶 o the white man worries 🎶 but the nigger do not care 🎶 cuz at the end of the mumff 🎶 his check will be there 🎶	hatespeech
13440	1241037297186934785_twitter	lol still thinking about the nazi hunter busting out the long swords after like two days of quarantine this shit is gonna get wild	offensive
4089	1178208869706850305_twitter	it always the faggots that have a lot to say but will not do nun 🤡	hatespeech
5510	26001093_gab	idk im sick of hearing about the royal fambly the only reason anyone cares is cuz shes a mullatto nigger didnt we fight a huge war to kick britain out so we did not have to care about their stupid king and queen 🙄	hatespeech
3116	1178856998202331137_twitter	<user> i fucking hate you come home tho	normal
3802	1179045150275846144_twitter	dressing your characters in big bud press is now tv shorthand for non denominational queer	normal
15387	16475442_gab	al franken is still in the senate chris matthews is still on tv democrats do not care about sexual harassment at all it a weapon to take out republicans remember this when next scandal hits	normal
11238	1117595210094002176_twitter	gay people tweeting about got just look like they ’ re ready to party and play	normal
12650	1201250360133902337_twitter	<user> britain ’ first you have ignored our elderly our veterans and our homeless you have put refugees first before brits	normal
7185	19732729_gab	i said no president ever addressed race before the nigger and trump does not need to end up in the nigger basket or something like that very self explanatory	hatespeech
12030	1173565646770229248_twitter	adulting is the nastiest most ghetto thing ever created and i want nothing to do with it	offensive
7147	4120470_gab	<user> but muzzies deny the trinity only one allah and nothing beside or to compare to indeed they see jesus as just another prophet	normal
18674	27442888_gab	tell that retarded fucking monkey to come on with it i will wait	offensive
6143	1178530577206644737_twitter	<user> dm me	normal
6041	1178249976201261056_twitter	<user> <user> but nokuthula is the first barrier to their businesses so they are protecting nokuthula so we can see that having white protection gives you ultimate protection you know the house negro shows of benefits of being one mugabe was for the people gaddafi for africa hani for africa	normal
1680	13647538_gab	it like a horror movie where the guy turns into a werewolf they look like they are wereniggers transforming into nigger strippers 🤔	hatespeech
1342	13660502_gab	hey leave <user> alone his wife may be a horse faced kike but i personally saw chad punch a nigger square in the face at cville for a fat homosexual diabetes pusher he based	hatespeech
4182	9280082_gab	why does vanity fair have a sheboon on its cover did it merge with national geographic vanity fair serena williams alt right	offensive
12487	1192820677293879297_twitter	does alcholics anonymous want to know if i jack off they have already proven themselves christian nazi fa t bitches	offensive
15896	17727937_gab	gab needs an incognito alias mode so you can post using your native ghetto slang without offending your devout followers	offensive
18813	27999430_gab	haha remember when that bitch nigger <user> was crying for a way to censor replies to him little pet monkey of a kike	hatespeech
4972	1179072076801462273_twitter	being a moslem javanese living in java is indonesia version of white people getting the best access to basically everything in the us	normal
859	1178832589735567360_twitter	tw rape mention also the fact this perso mentioned sa survivors being the only valid asexual ppl is so funny to me bc i identified as ace for a hot second and was literally raped by a guy who thought that if i had sex i d be fixed lmao	normal
19987	9286720_gab	every day more and more psychotic liberals are either being triggered to commit violence or some not many but some forgot to watch fake news for a few days in a row and their conditioning is failing it only a matter of time now	offensive
15146	15895678_gab	phobia is not just fear it irrational fear even if there are people who actually fear islam their fear is fully rational and justified thing is people find islam repulsive vile violent and foul no feeling of fear involved	offensive
10295	1077880500214288385_twitter	if i was a guy i would straight up tell these hoes u fuckin or what	offensive
2801	17345919_gab	i will burn in hell but at least i know what i have done wrong these muzzies are retarded	hatespeech
7009	19923814_gab	what is the point of being a nigger if you can not act like one	offensive
16366	19062875_gab	imagine canada with <number> <number> of these retarded niggas in canada canadians are not used to be confronted by garbage like this yet canada shit skin moslem immigration minister ahmed hussen wants to bring <number> <number> of these animals to canada	hatespeech
15215	16038876_gab	we also have similar views on women hey broken clocks being right sometimes and all but it does not change the fact that muslims are gross inbred brown people plus arabs are cousins to jews	offensive
6827	26779064_gab	literally every single fucking time it still honestly surprises me any time i find something that evil anti white or anti western civilization there is always always a fucking kike involved	hatespeech
19558	6989298_gab	did islamists just bomb fleeing civilans from fuah kafraya in syria fuah kafraya are two besieged cities in the idlib province with a majority shia muslim population i wonder if western msm will write about this probably not	normal
6016	1178844285501767685_twitter	lol sis think somebody playing with her fake crippled ass 🗣 knocc knocc its landlord reej take dat weak shit to yo mammy house hoe 🤣 🙄	offensive
3618	1178874779127951361_twitter	<user> never said <number> but it like <number> or more which is a fucking lot learn what redlining is and i will show you some fucked up shit they have done that still affects us like does nobody ask why these wealthy suburbs are majority white	normal
10485	1084321272870420482_twitter	a beautiful girl leaving an empty stage is a fucking shame amp if you just sit back to watch that shit you are scum	offensive
2027	25789788_gab	fuck you trump just fuck you and your kike ass first bitch	hatespeech
784	1179050794865352704_twitter	i am not a bad bitch i am a stupid sad bitch	normal
8660	20914058_gab	public hanging from a short drop let him twist in the wind as a warning to any other nigger thinking about hurting any white woman	hatespeech
12173	1179421734098878465_twitter	<user> the wrench and hammer are deep fake additions that chinazi pig came over ready to kill someone	offensive
127	4105410_gab	god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga	hatespeech
215	1184949747087499264_twitter	sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top	normal
353	1105655062599208960_twitter	suck out you faggot	offensive
18495	26797357_gab	pay attention to the muslims the blacks are waking up	offensive
3471	22966558_gab	yes white woman sold out but i d never put my cock in a moslem degenerate	normal
9635	18930521_gab	figure skating ladies and pairs eff the queers	offensive
12930	1214800558306889728_twitter	<user> so now trump cares about american immigrants bogus gop agendas	normal
6111	4324362_gab	<user> you are welcome what we do what we must all do is work together share the knowledge and the skills and bring about asap the genocide of every last vile kike from our nations	hatespeech
2017	1178932603635695617_twitter	you wanna be asexual inclusive you have to be queer inclusive you wanna be trans and nonbinary inclusive you gotta be queer inclusive hell there are allosexual cis gays bisexuals and lesbians who identify as queer	normal
14406	13710072_gab	the patriotards who castigate us for saying the kikes need to be exterminated are too stupid to live in the real world when savage enemies are slaughtering your people only pathetic faggots wring their hands over the evil of killing them	hatespeech
16981	21254500_gab	well gabfam it thursday thank the gods of course it cold wet grey gloomy and shitty but meh that oh for you have a great day remember make the world a better place shoot a kike in the face	hatespeech
30	14580398_gab	only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes	normal
6634	9587714_gab	does anyone else feel like we are watching a horror movie where the white person is sleeping and africans and muslimes are breaking into the house fuck islam cant trust blacks	hatespeech
12646	1200983749174931456_twitter	<user> <user> shut up faggot	offensive
1905	1178827495673647104_twitter	<user> <user> so if an animal does body language you start to rape it also <number> <number> years old they do not understand shit about sex and do not say then let us teach them that not the point kids should be hanging out with friends and playing games not being statutory raped	offensive
9698	1179038917590339584_twitter	nigga you ain t neva hit no foreign wit no white bitch	offensive
12743	1206332526970777600_twitter	<user> i ’ m crying they hate you hahahahaha	undecided
12057	1174791771949322245_twitter	deadass gon go lesbian	normal
7739	19255529_gab	makes me want to puke so fucking tired of this moslem shite appeasement	hatespeech
820	1178775205319188481_twitter	<user> i will call my friends and we go fuck up that nigger	hatespeech
17325	22456269_gab	but paul nehlen criticized jews tho	normal
10419	1082141802763702272_twitter	mental abuse is no joke i am out of this bitch	normal
11561	1144577656178053120_twitter	sindh wants no more refugees afghan refugees should be deported to their own land deportafghanrefugees deportafghanrefugees	undecided
17885	24428322_gab	autist sociopaths like yourself are always attracted to either sociopathic nazi movements or sociopathic islamic movements pick and choose bubbeleh	offensive
16670	20026806_gab	not just because some of us are still beautiful but because white europeans have provided the world with <number> of all scientific technological industrial inventions that is phenomenal folks time we owned it let it be known our creative past potential is unmatched by any other culture	undecided
19467	6453946_gab	the reason jews shitlibs faggots hate attack christians while defending muslims is because they know the christians will never fight back while the sand niggers will throw their skinny jeaned asses off roofs cut their fucking knit capped heads off	hatespeech
11079	11117384_gab	oh god clippy how i hate that thing it was a like a retarded version of siri or cortana but every bit as annoying to get rid of	normal
8714	6944990_gab	you mean nobodies rushing in to buy muslim ms marvel or titty bar thor the moslem green lantern oath in brightest day in blackest night no unattended 6 yo infidel girl shall escape my sight let all who worship civilizations might behold my green jihadi suicide vest light	hatespeech
2599	1178422834160386048_twitter	<user> <user> <user> well not all everyone apart from the rich elites aka islamophobic white home county males	normal
3052	1179091091489865729_twitter	<user> sex repulsion is still valid though and needs to be respected no matter how uncommon it is i am not asexual but i still experience sex repulsion often and people are acting like people who experience it are prudes and trying to shame queer sexuality	normal
8343	20238600_gab	everyone wants a sterile war it not possible christ were ourpeace time yet <number> million white children raped by pakis muslims our peace ain sterile	hatespeech
13655	1254111433463410688_twitter	the flash must be muslim the way he fast	normal
15004	15510473_gab	woke anti islam bc u think arabs are ugly and stupid also woke anti islam bc ur an ethno nationalist joke anti islam bc ur mad about terrorists	offensive
9688	6670733_gab	number of articles written about how trump supporters were behind rising antisemitism in america <number> <number> number of journalists that apologized to trump trump supporters when the only suspects were an israeli kike and a new york nigger zero point zero	hatespeech
18414	26443311_gab	i should post pics of muslim women sucking christian cock lol	offensive
6411	20622765_gab	he a kike pretending to be a christian	hatespeech
14662	14502505_gab	why do not you just kill yourself if you hate whites so much i guess you will in a way when you get knocked up by some negro thug you will be killing your whole genetic lineage	hatespeech
7084	1178812941405171713_twitter	i am truly amazed that twitter allows little racist bitches to go on and scream nigger but they throw somebody in jail because they tell them to eat poo and stop existing but kill kill all the niggers is ok with twitter shame on twitter	normal
13744	1259118782330568704_twitter	<user> <number> out of every <number> nazi soldiers killed in ww2 were killed by the red army of the soviet union	normal
7590	1178501732474724352_twitter	<user> honestly if god is real that mfer needs to send another flood or something this shit is just straight monsterous add white americans obsessed with anime to the deadly sins list	normal
2516	1178751553483739141_twitter	<user> why did 3 v3 rep get raped l	normal
15054	15613204_gab	just call the jews what they really are god suplanters	offensive
6300	1179088826985267201_twitter	<user> <user> <user> wow and the white supremists and nazis that commit mass shootings and are citing civil war	normal
7778	1178509785014124544_twitter	cooper dindu nuffin sick of these fucking refs	normal
3696	1178831414214696961_twitter	<user> not to be rude or anything but you should message me or sumn but fuck you too jk jk	normal
14421	13748729_gab	peter kopteros peter kopteros <number> hours ago i sure hope that nappy headed lowlife never gets to play professional football ever again unless it in the ghetto they grew up in lol \ufeff	offensive
1904	10912897_gab	why is there a muzzie on project runway of course she forces her model into a hijab	hatespeech
8597	1178813281043206149_twitter	richy blunt smoking dick money this nigger pole	hatespeech
5614	15798449_gab	yes that mudshark tendency shows the world how truly progressive she is see	offensive
12488	1192844886824894464_twitter	<user> this is the ghetto i hate it here	normal
10616	1090003446831476736_twitter	<user> disgusting evil mooslim will be calling uncle tommy	offensive
10490	1084494975084228610_twitter	withoutwomenmenwould men would actually be able to be functioning human beings without being accused of misogyny by a feminazi	offensive
7007	1179058422421041152_twitter	jews still live as in the o.t. cultish self serving warring and against criticism b cos they have developed a culture of pharasitic entitlements they are not enlightened they still sacrifice animals with all their posturing they still reject god	hatespeech
4543	17600760_gab	lol nice try kike trying to convince me to dox myself because you called me a name tell ur kike line manager to try harder next time ur freudian bs no longer works on us goyim the goyim know	hatespeech
17252	22223010_gab	need a fat white bitch ay can i getcho numba come pay my rent ho	offensive
8015	1178516578582831104_twitter	<user> <user> <user> that funny bill clinton actually raped women and hillary made sure those women were smeared as homewreckers and sluts	normal
19676	7736800_gab	<user> faggot i told you already to stop liking my posts you called for my wife to be raped by niggers you i are enemies fuck off bitch ass punk motherfucker i shit on you altright gabfam	hatespeech
9237	1179038184748896256_twitter	if you my nigga and i know you got me i would never abuse your kindness and mutt you but if u think u gonna not be doing shit but watch me pay bills bitch die immediately	normal
13965	1270186359404273669_twitter	<user> nigga said <number> like i won ’ t fly her out just to fuck	offensive
7591	1178806707247570944_twitter	no i fucking do not so why was he panicking i hate you shitty hair you do not fucking hate me asshat the smirk disappeared into another face of anger his right arm pointing a sharp finger towards katsuki	normal
4833	1163204898089029632_twitter	you too old for him hoe lets relax	offensive
11529	11432942_gab	well said mra makes one wonder if all these immigrants are masochist or maybe their invaders with a plan	offensive
17523	23173333_gab	pretty funny nigger with the handle stunnaboy calling other people gay	undecided
16458	19323003_gab	little boy adam he and dws played around with the awan bros funny how that happens jews working with muslims to hurt america	hatespeech
13068	1220065202986799105_twitter	i ’ m a “ alright ima let you have that ” kinda bitch i ’ m not arguing with nobody	normal
14836	15016427_gab	it much simpler than that bro he a shit tier hasbara kike playing the muh freedom loving white man lol same old routine with these clowns	offensive
6018	1179093946066259968_twitter	ah so subby rn 🥺 someone call me slut n kitty	normal
